[2025-08-09 08:20:41.631] 2025 Aug  6 07:52:28 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:20:41.632] 2025 Aug  6 07:52:28 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:20:49.630] 2025 Aug  6 07:52:36 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:20:49.632] 2025 Aug  6 07:52:36 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:20:49.633] 2025 Aug  6 07:52:36 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:20:50.630] 2025 Aug  6 07:52:36 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:21:11.633] 2025 Aug  6 07:52:58 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:21:11.634] 2025 Aug  6 07:52:58 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:21:11.635] 2025 Aug  6 07:52:58 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:21:53.639] 2025 Aug  6 07:53:39 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:21:58.640] 2025 Aug  6 07:53:45 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:21:58.641] 2025 Aug  6 07:53:45 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:21:58.664] 2025 Aug  6 07:53:45 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:22:34.645] 2025 Aug  6 07:54:20 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:22:34.646] 2025 Aug  6 07:54:20 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:22:34.647] 2025 Aug  6 07:54:20 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:22:56.647] 2025 Aug  6 07:54:42 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:23:02.648] 2025 Aug  6 07:54:48 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:23:02.650] 2025 Aug  6 07:54:48 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:23:02.650] 2025 Aug  6 07:54:48 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:23:11.648] 2025 Aug  6 07:54:57 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:23:11.650] 2025 Aug  6 07:54:57 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:23:11.651] 2025 Aug  6 07:54:57 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:23:16.650] 2025 Aug  6 07:55:02 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:23:16.651] 2025 Aug  6 07:55:02 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:23:16.675] 2025 Aug  6 07:55:02 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:23:59.655] 2025 Aug  6 07:55:45 prplOS tr181-dhcpv4client: mod-dhc - [!][eth0] Broadcast DISCOVER. - (dhcp_packet_send@dhcp_packet.c:641)
[2025-08-09 08:24:04.656] 2025 Aug  6 07:55:50 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:24:04.658] 2025 Aug  6 07:55:50 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
[2025-08-09 08:24:04.680] 2025 Aug  6 07:55:50 prplOS obuspa[5897]: Error on STOMP connection to (host controller.cdroutertest.com, port 61613). Closing connection.
[2025-08-09 08:24:30.659] 2025 Aug  6 07:56:16 prplOS obuspa[5897]: tw_ulib_diags_lookup_host(host=controller.cdroutertest.com, acs_family_pref=Any): getaddrinfo() failed: Temporary failure in name resolution
[2025-08-09 08:24:30.661] 2025 Aug  6 07:56:16 prplOS obuspa[5897]: ERROR: STOMP failed whilst attempting to connect to (host=controller.cdroutertest.com, port=61613)
